호텔,객실 타입,원가,할인가,할인액,할인율
리안호텔 (경쟁사),스탠다드 더블룸 (Standard Double Room),"₩134,985","₩19,853","₩115,132",85%
리안호텔 (경쟁사),스탠다드 트윈룸 (Standard Twin),"₩142,990","₩21,119","₩121,871",85%
리안호텔 (경쟁사),체크인시 객실배정 (Room Assigned At Upon Check-in),"₩162,639","₩26,631","₩136,008",83%
리안호텔 (경쟁사),디럭스 더블 (Deluxe Double),"₩174,675","₩25,814","₩148,861",85%
리안호텔 (경쟁사),패밀리트윈 (Family Twin),"₩182,737","₩29,962","₩152,775",83%
리안호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩246,096","₩40,417","₩205,679",83%
그리드인 호텔 (우리),싱글룸 (Single - Room),"₩76,790","₩27,765","₩49,025",63%
그리드인 호텔 (우리),트윈룸 (Twin Room),"₩101,095","₩16,195","₩84,900",83%
그리드인 호텔 (우리),이코노믹 더블 (Economic Double),"₩76,790","₩27,765","₩49,025",63%
그리드인 호텔 (우리),더블룸 (Double Room),"₩108,583","₩17,395","₩91,188",83%
그리드인 호텔 (우리),트리플룸 (Triple),"₩18,964","₩18,964",₩0,0%
그리드인 호텔 (우리),패밀리룸 - 4인 (Family room - 4 pax),"₩76,790","₩27,765","₩49,025",63%
그리드인 호텔 (우리),패밀리룸 - 5인 (Family Room - 5 Pax),"₩76,790","₩27,765","₩49,025",63%
나포레호텔 (경쟁사),슈페리어 더블 (Superior Double),"₩155,437","₩142,544","₩12,893",8%
나포레호텔 (경쟁사),슈페리어 트윈 (Superior Twin),"₩169,220","₩37,297","₩131,923",77%
나포레호텔 (경쟁사),디럭스 더블룸 (Deluxe Dbl),"₩191,267","₩41,405","₩149,862",78%
나포레호텔 (경쟁사),디럭스룸 (트윈베드),"₩233,739","₩43,068","₩190,671",81%
나포레호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩267,890","₩60,554","₩207,336",77%
나포레호텔 (경쟁사),패밀리트윈 (Family Twin),"₩304,147","₩67,203","₩236,944",77%
